state,district,crop,season,year,area_ha,production_tonnes,final_yield_t_ha,yield_unit,geographic_level,source_name,source_url,retrieved_date
Andhra Pradesh,CHITTOOR,Rice,Rabi,2007,37000.0,116000.0,3.1351,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02
Andhra Pradesh,CHITTOOR,Rice,Kharif,2008,17596.0,46242.0,2.628,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02
Andhra Pradesh,CHITTOOR,Rice,Rabi,2008,37927.0,118636.0,3.128,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02
Andhra Pradesh,CHITTOOR,Rice,Kharif,2009,19758.0,56192.0,2.844,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02
Andhra Pradesh,CHITTOOR,Rice,Rabi,2009,35155.0,113937.0,3.241,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02
Andhra Pradesh,CHITTOOR,Rice,Kharif,2010,18019.0,53639.0,2.9768,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02
Andhra Pradesh,CHITTOOR,Rice,Rabi,2010,43558.0,131502.0,3.019,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02
Andhra Pradesh,CHITTOOR,Rice,Kharif,2011,17342.0,55719.0,3.213,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02
Andhra Pradesh,CHITTOOR,Rice,Rabi,2011,33764.0,113211.0,3.353,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02
Andhra Pradesh,CHITTOOR,Rice,Kharif,2012,12952.0,45241.0,3.493,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02
Andhra Pradesh,CHITTOOR,Rice,Rabi,2012,34557.0,126168.0,3.651,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02
Andhra Pradesh,CHITTOOR,Rice,Kharif,2013,15206.0,48766.0,3.207,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02
Andhra Pradesh,CHITTOOR,Rice,Rabi,2013,34654.0,120249.0,3.47,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02
