state,district,year,season,crop,area_ha,production_t,yield_t_ha
Andhra Pradesh,KRISHNA,2007,Kharif,Rice,261000.0,944000.0,3.6169
Andhra Pradesh,KRISHNA,2007,Rabi,Rice,94000.0,355000.0,3.7766
Andhra Pradesh,KRISHNA,2008,Kharif,Rice,273878.0,959395.0,3.503
Andhra Pradesh,KRISHNA,2008,Rabi,Rice,120655.0,467900.0,3.878
Andhra Pradesh,KRISHNA,2009,Kharif,Rice,228196.0,784310.0,3.437
Andhra Pradesh,KRISHNA,2009,Rabi,Rice,108442.0,424984.0,3.919
Andhra Pradesh,KRISHNA,2010,Kharif,Rice,260350.0,722978.0,2.7769
Andhra Pradesh,KRISHNA,2010,Rabi,Rice,94991.0,367710.0,3.871
Andhra Pradesh,KRISHNA,2011,Kharif,Rice,262826.0,980105.0,3.7291
Andhra Pradesh,KRISHNA,2011,Rabi,Rice,9203.0,31437.0,3.416
Andhra Pradesh,KRISHNA,2012,Kharif,Rice,253166.0,908360.0,3.588
Andhra Pradesh,KRISHNA,2012,Rabi,Rice,11365.0,42244.0,3.717
Andhra Pradesh,KRISHNA,2013,Kharif,Rice,264371.0,773285.0,2.925
Andhra Pradesh,KRISHNA,2013,Rabi,Rice,98951.0,402236.0,4.065
Andhra Pradesh,KRISHNA,2014,Kharif,Rice,235212.0,788901.0,3.354
Andhra Pradesh,KRISHNA,2014,Rabi,Rice,52830.0,209894.0,3.973
Andhra Pradesh,KRISHNA,2014,Whole Year,Rice,288042.0,998795.0,3.4675
Andhra Pradesh,KURNOOL,1997,Kharif,Rice,66300.0,176900.0,2.6682
Andhra Pradesh,KURNOOL,1997,Rabi,Rice,9000.0,23900.0,2.6556
Andhra Pradesh,KURNOOL,1998,Kharif,Rice,75100.0,221700.0,2.9521
Andhra Pradesh,KURNOOL,1998,Rabi,Rice,20900.0,44500.0,2.1292
Andhra Pradesh,KURNOOL,1999,Kharif,Rice,81640.0,225431.0,2.7613
Andhra Pradesh,KURNOOL,1999,Rabi,Rice,12430.0,35695.0,2.8717
Andhra Pradesh,KURNOOL,2000,Kharif,Rice,93188.0,307427.0,3.299
Andhra Pradesh,KURNOOL,2000,Rabi,Rice,13909.0,38083.0,2.738
Andhra Pradesh,KURNOOL,2001,Kharif,Rice,43617.0,121779.0,2.792
Andhra Pradesh,KURNOOL,2001,Rabi,Rice,38162.0,98534.0,2.582
Andhra Pradesh,KURNOOL,2002,Kharif,Rice,47948.0,100499.0,2.096
